id,resource_state,name,climb_category,climb_category_desc,avg_grade,elev_difference,points,starred,elevation_profile,local_legend_enabled,start_latlng,end_latlng,athlete_count,star_count,created_at,effort_count,distance,total_elevation_gain,age_days,efforts_per_age,athletes_per_age,stars_per_age,stars_per_athlete,index_right,objtype,datafangstdato,oppdateringsdato,sporantall,anleggstype,medium,malemetode,noyaktighet,rutemerking,vedlikeholdsansvarlig,vegnummer,motorvegtype,typeveg,vegkategori,vegfase,banestatus,SHAPE_Length,avg_cost,popularity_rank,speed_rank,traffic_rank,cost_rank,combined_rank_avg,final_rank
14515526,2.0,Det ufarlige gjerdestrekket ut ,0.0,NC,0.1,3.0,cgtlJktl`AdAbCZdAr@zEFv@HhFEbFKjDo@|LMrF,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/KBDESUWQC72SLCLKJLU4KJ5GCNOIBWSMOZ6YRGNUSL5QTYA6ONDUZPB7PXADL5KO3FENLL5WZSYVD6SF2VAAF6AP,True,,,24771.0,52.0,2017-04-04 20:16:27+00:00,615994.0,538.8,3.0,2958,208.24678837052062,8.374239350912779,0.01757944557133198,0.0020992289370635017,10755,Veglenke,1997/06/02 00:00:00+00,2019/06/24 00:00:00+00,,,T,fot,1500,,,18.0,IkkeMotorveg,enkelBilveg,E,V,,167.46614004038094,0.0,6.0,,,9.0,7.5,1.0
18999118,2.0,Kriminell i kollektivfeltet,0.0,NC,-0.6,18.4,c`plJmnu`AzBwBd@i@bAeB~@uArCmD`ByAbAs@lCsAr@g@zBgBfAgAxAeBrRwW~@iAhBiBbBkAl@YlA_@|C{@`AYNI`BgAvCeCfAiAdB{A,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/3UI5KSC7H6SVJRJSCFINDZP2XARXHHCOHD2VLYTI3MNWMH3SZRH4OYDNAYMCCC6WWXV2LQEIYLCOFC3G4CYL4KY=,True,,,18636.0,32.0,2018-10-01 17:58:07+00:00,297524.0,1725.8,12.2,2413,123.30045586406962,7.723166183174472,0.01326150020721094,0.0017171066752522,10781,Veglenke,1996/07/01 00:00:00+00,2016/04/06 00:00:00+00,,,T,sat,1500,,,18.0,IkkeMotorveg,enkelBilveg,E,V,,900.3623459306363,0.0,20.0,,,1.0,10.5,2.0
18443117,2.0,Oslo - here we come!,0.0,NC,1.2,11.8,_xtlJuh}_AS}A@{AE_@e@}B]sBY{BkByMy@iEkAsFm@gD[uDDuDEmCKyA}@uI,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/OVK56EMAMRZRGB2NKZBMTVKHOFBILKFBNRPW6ZUTTGHMN7F77UG2GTM6JBTMFPYO2S56DAVNE7KLCJFJHXTV6NI=,True,,,26359.0,34.0,2018-08-05 17:58:18+00:00,809796.0,796.7,11.8,2470,327.85263157894735,10.67165991902834,0.013765182186234818,0.0012898820137334497,7894,Veglenke,1994/07/01 00:00:00+00,2018/09/13 00:00:00+00,,,T,dig,1500,,,,,enkelBilveg,K,V,,341.5921602290008,0.0,3.0,,,21.0,12.0,3.0
4190050,2.0,Det farlige gjerdestrekket inn,0.0,NC,0.0,0.0,eetlJgzj`AN_AFk@v@gNPiEDeE@sGOcDe@_E]}A,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/EEXVNRDGAG6QTLCAJBKCFGCV4KR5KAKW7EVUD4HAR253TPKWRYTAGBCMGQSRHSRS5M7PRSY5D64ZTS3HE2NQ2XI=,True,,,33824.0,82.0,2013-05-23 14:55:04+00:00,729181.0,497.8,0.0,4370,166.86064073226544,7.740045766590389,0.018764302059496567,0.002424314096499527,10755,Veglenke,1997/06/02 00:00:00+00,2019/06/24 00:00:00+00,,,T,fot,1500,,,18.0,IkkeMotorveg,enkelBilveg,E,V,,167.46614004038094,0.0,9.0,,,16.0,12.5,4.0
5400530,2.0,Max knekker kort,0.0,NC,2.2,10.5,onulJso``AHz@f@jDZtANXH\j@bA^`@PHXl@TpAHvBAz@Hr@HfB@nANrD?v@KnD@~@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TJDMEQ452OMCSYID5EGKHXTJOUQCYB6ETLFZVLRQ7BPPQ2ZLWM3YUNM4Y42W6O4EOEDJXQX7YUIYJLBVQ2MXZQA=,True,,,25979.0,20.0,2013-09-06 06:39:42+00:00,676465.0,480.5,11.1,4265,158.6084407971864,6.091207502930833,0.004689331770222743,0.000769852573232226,3758,Veglenke,1996/07/01 00:00:00+00,1000/01/01 00:00:00+00,,,T,sat,1500,,,18.0,IkkeMotorveg,enkelBilveg,E,V,,367.2221776325636,0.0,10.0,,,22.0,16.0,5.0
9252629,2.0,Bekkelagskaia2,0.0,NC,-1.3,19.0,amplJozt`AnBsCdA}BtAcD`AiBb@k@|C{Cx@}@rC}D|AsBd@g@dB}AtAcAtBaAj@_@`Aw@xCqC`AgA~@sAh@_ATYj@{@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/HJMGTZQ6UCFNRSOYBX52HCNX2LG364KCAPZJHCH4S5XSVOO4M2VSXJQFCE76MR7O3FYVP4E3XUOLFKQWFCPGV4UH,True,,,24061.0,17.0,2015-04-13 19:03:40+00:00,356778.0,1084.6,0.0,3680,96.95054347826087,6.538315217391304,0.004619565217391305,0.0007065375503927518,9650,Veglenke,1996/07/01 00:00:00+00,2013/12/16 00:00:00+00,,,T,sat,1500,,,18.0,IkkeMotorveg,enkelBilveg,E,V,,387.7397151342766,0.0,36.0,,,2.0,19.0,6.0
25370387,2.0,Sjukt Omstillingsvennlig Fristerinne,0.0,NC,-0.1,1.8,sdslJ{aq`A|ApAx@x@R^Jp@Ft@BxCQrCSlASf@U^i@j@aAlA_AxBwArEs@jAKJwA~@_DtAoB`@wBJwBDmDVi@?,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TXQDCRM7M574SD3EQLCG43UAYOUEB4TCQKQAHHTAQUBZ6LJG7ZV6O724ERWZL4RRGP6TOPW6XW6IIFLCJZTEAZY=,True,,,16890.0,16.0,2020-08-18 16:40:17+00:00,414874.0,981.0,0.0,1726,240.3673232908459,9.785631517960603,0.009269988412514484,0.0009473060982830077,10252,Veglenke,1994/07/01 00:00:00+00,2014/08/20 00:00:00+00,,,T,dig,1500,,,18.0,IkkeMotorveg,enkelBilveg,E,V,,185.29571397867494,0.0,4.0,,,36.0,20.0,7.0
9544406,2.0,Amstel light,0.0,NC,7.4,12.7,gxmlJgqw`Aw@r@OFMBKGIOQe@IKUMc@Kk@IOB]R,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/6YJVMRKY7B4FO3PZDKGZY4SOZVCSYGA2EPAURX6VCBLNFQNYMMRCEFERDV6G25XH5HFUL2F3HFKY6E66APCRSFI=,True,,,24097.0,47.0,2015-05-22 12:19:37+00:00,326759.0,170.8,0.0,3641,89.74430101620435,6.6182367481461135,0.012908541609447955,0.0019504502635182804,9035,Veglenke,1994/07/01 00:00:00+00,1000/01/01 00:00:00+00,,,T,dig,1500,,,,,enkelBilveg,K,V,,112.1325116328068,0.0,42.0,,,6.0,24.0,8.0
12173675,2.0,Liten knekker,0.0,NC,3.9,6.6,umnlJs`w`AxANJHJARWP]Fc@Co@Q{ABS\a@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/Y6NVJYUIKMKDIAG77SGT7Y7WBKABMHYKCCGNW2BTB4ENBDIWHD2652OLFKRQ2YBVM2BQWMQ2GANGKPEYWQZ5ROGS,True,,,14000.0,27.0,2016-05-24 13:40:45+00:00,290317.0,167.7,6.6,3273,88.70058050717996,4.277421326000611,0.008249312557286892,0.0019285714285714286,8809,Veglenke,1997/06/02 00:00:00+00,1000/01/01 00:00:00+00,,,T,fot,100,,,,,enkelBilveg,K,V,,24.267572524127797,0.0,44.0,,,5.0,24.5,9.0
21932794,2.0,Kirkeveien lysbingo,0.0,NC,-3.5,24.2,a}xlJsjn`ArBjGfAvBtDnJjA~Ch@~AbCjIp@jCp@bBfBjG,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/R4G3VQBA4ABTVZV2MIIDCCZQ5SPOBRXXIPCROX34FQCHKCY5UOOMSFAPB2UFYVFMBOET7SMETYPQYLANPSN6MV77,True,,,17153.0,14.0,2019-09-29 18:04:07+00:00,186618.0,693.1,0.0,2050,91.03317073170732,8.367317073170732,0.006829268292682927,0.0008161837579432169,6045,Veglenke,1994/07/01 00:00:00+00,1000/01/01 00:00:00+00,,,T,dig,1500,,,,,enkelBilveg,K,V,,119.06606611562134,0.0,40.0,,,13.0,26.5,10.0
