random_sample;X;Y;GPI_THAW200707_Band_1
1;0,000000000000000;0,000000000000000;-0,0000000
2;10,000000000000000;0,000000000000000;10,0000000
3;60,000000000000000;0,000000000000000;60,0000000
4;70,000000000000000;0,000000000000000;70,0000000
5;80,000000000000000;0,000000000000000;80,0000000
6;90,000000000000000;0,000000000000000;90,0000000
7;100,000000000000000;0,000000000000000;100,0000000
8;0,000000000000000;10,000000000000000;-0,0000000
9;10,000000000000000;10,000000000000000;10,0000000
10;20,000000000000000;10,000000000000000;20,0000000
11;30,000000000000000;10,000000000000000;30,0000000
12;40,000000000000000;10,000000000000000;40,0000000
13;50,000000000000000;10,000000000000000;50,0000000
14;60,000000000000000;10,000000000000000;60,0000000
15;70,000000000000000;10,000000000000000;70,0000000
16;90,000000000000000;10,000000000000000;90,0000000
17;0,000000000000000;20,000000000000000;-0,0000000
18;10,000000000000000;20,000000000000000;10,0000000
19;20,000000000000000;20,000000000000000;20,0000000
20;30,000000000000000;20,000000000000000;30,0000000
21;40,000000000000000;20,000000000000000;40,0000000
22;60,000000000000000;20,000000000000000;60,0000000
23;70,000000000000000;20,000000000000000;70,0000000
24;80,000000000000000;20,000000000000000;80,0000000
25;90,000000000000000;20,000000000000000;90,0000000
26;100,000000000000000;20,000000000000000;100,0000000
27;0,000000000000000;30,000000000000000;-0,0000000
28;10,000000000000000;30,000000000000000;10,0000000
29;20,000000000000000;30,000000000000000;20,0000000
30;30,000000000000000;30,000000000000000;30,0000000
31;40,000000000000000;30,000000000000000;40,0000000
32;50,000000000000000;30,000000000000000;50,0000000
33;60,000000000000000;30,000000000000000;60,0000000
34;70,000000000000000;30,000000000000000;70,0000000
35;80,000000000000000;30,000000000000000;80,0000000
36;90,000000000000000;30,000000000000000;90,0000000
37;100,000000000000000;30,000000000000000;100,0000000
38;0,000000000000000;40,000000000000000;-0,0000000
39;30,000000000000000;40,000000000000000;30,0000000
40;40,000000000000000;40,000000000000000;40,0000000
41;50,000000000000000;40,000000000000000;50,0000000
42;60,000000000000000;40,000000000000000;60,0000000
43;70,000000000000000;40,000000000000000;70,0000000
44;80,000000000000000;40,000000000000000;80,0000000
45;90,000000000000000;40,000000000000000;90,0000000
46;100,000000000000000;40,000000000000000;100,0000000
47;0,000000000000000;50,000000000000000;-0,0000000
48;10,000000000000000;50,000000000000000;10,0000000
49;20,000000000000000;50,000000000000000;20,0000000
50;40,000000000000000;50,000000000000000;40,0000000
51;50,000000000000000;50,000000000000000;50,0000000
52;60,000000000000000;50,000000000000000;60,0000000
53;70,000000000000000;50,000000000000000;70,0000000
54;80,000000000000000;50,000000000000000;80,0000000
55;90,000000000000000;50,000000000000000;90,0000000
56;100,000000000000000;50,000000000000000;100,0000000
57;10,000000000000000;60,000000000000000;10,0000000
58;20,000000000000000;60,000000000000000;20,0000000
59;50,000000000000000;60,000000000000000;50,0000000
60;60,000000000000000;60,000000000000000;60,0000000
61;80,000000000000000;60,000000000000000;80,0000000
62;90,000000000000000;60,000000000000000;90,0000000
63;100,000000000000000;60,000000000000000;100,0000000
64;0,000000000000000;70,000000000000000;-0,0000000
65;10,000000000000000;70,000000000000000;10,0000000
66;20,000000000000000;70,000000000000000;20,0000000
67;30,000000000000000;70,000000000000000;30,0000000
68;40,000000000000000;70,000000000000000;40,0000000
69;50,000000000000000;70,000000000000000;50,0000000
70;80,000000000000000;70,000000000000000;80,0000000
71;90,000000000000000;70,000000000000000;90,0000000
72;100,000000000000000;70,000000000000000;100,0000000
73;0,000000000000000;80,000000000000000;-0,0000000
74;10,000000000000000;80,000000000000000;10,0000000
75;20,000000000000000;80,000000000000000;20,0000000
76;30,000000000000000;80,000000000000000;30,0000000
77;40,000000000000000;80,000000000000000;40,0000000
78;50,000000000000000;80,000000000000000;50,0000000
79;60,000000000000000;80,000000000000000;60,0000000
80;70,000000000000000;80,000000000000000;70,0000000
81;90,000000000000000;80,000000000000000;90,0000000
82;10,000000000000000;90,000000000000000;10,0000000
83;30,000000000000000;90,000000000000000;30,0000000
84;40,000000000000000;90,000000000000000;40,0000000
85;50,000000000000000;90,000000000000000;50,0000000
86;60,000000000000000;90,000000000000000;60,0000000
87;70,000000000000000;90,000000000000000;70,0000000
88;80,000000000000000;90,000000000000000;80,0000000
89;90,000000000000000;90,000000000000000;90,0000000
90;100,000000000000000;90,000000000000000;100,0000000
91;0,000000000000000;100,000000000000000;-0,0000000
92;20,000000000000000;100,000000000000000;20,0000000
93;30,000000000000000;100,000000000000000;30,0000000
94;40,000000000000000;100,000000000000000;40,0000000
95;50,000000000000000;100,000000000000000;50,0000000
96;60,000000000000000;100,000000000000000;60,0000000
97;70,000000000000000;100,000000000000000;70,0000000
98;80,000000000000000;100,000000000000000;80,0000000
99;90,000000000000000;100,000000000000000;90,0000000
100;100,000000000000000;100,000000000000000;100,0000000
