id,athlete_count,star_count,created_at,effort_count,distance,total_elevation_gain
2055993,4162,28,2012-08-10T07:37:54Z,51749,120.89,0.0
11594905,6764,3,2016-03-18T11:34:40Z,68758,322.7,2.6
12501983,915,15,2016-07-01T06:09:51Z,4670,365.5,42.6
2402050,5064,12,2012-09-17T14:31:25Z,57752,402.765,12.3322
7837222,1102,9,2014-08-07T15:05:08Z,15386,408.5,13.0
8308120,3478,36,2014-10-09T17:47:53Z,63347,868.7,43.6
15428416,7378,21,2017-07-14T23:33:17Z,94356,929.1,0.0
7212087,4793,27,2014-05-14T19:35:57Z,78327,759.2,47.5
9189425,4421,28,2015-04-05T14:43:53Z,28919,736.1,30.0
12498612,8826,20,2016-06-30T18:12:06Z,114763,287.5,6.9
7398941,18063,12,2014-06-10T07:38:31Z,465811,613.0,16.6
12254776,15705,62,2016-06-02T08:14:39Z,386546,1643.8,4.4
20966648,24393,45,2019-06-24T09:39:55Z,720209,1928.3,9.0
25586955,3311,0,2020-09-04T15:41:13Z,18536,302.4,0.0
15361986,1282,5,2017-07-07T19:40:31Z,9436,426.1,3.4
11532905,565,10,2016-03-09T08:06:27Z,1333,163.1,11.0
5258852,956,8,2013-08-25T15:34:43Z,7286,365.6,12.4
5294843,804,6,2013-08-28T11:18:35Z,2734,350.3,16.3
5665798,1420,6,2013-10-02T15:56:10Z,8204,565.2,14.4
13854509,58,0,2016-12-24T11:36:39Z,90,163.4,0.0
11757006,423,1,2016-04-07T15:48:43Z,1603,192.9,8.0
10366602,35249,21,2015-08-31T20:28:17Z,771904,794.5,0.0
5258815,3569,1,2013-08-25T15:32:04Z,12329,1003.8,6.8
4751751,32322,51,2013-07-16T08:52:34Z,682534,612.0,0.0
11886685,7244,13,2016-04-22T17:06:45Z,24277,257.2,0.0
7607407,2970,30,2014-07-09T09:32:55Z,39054,378.3,0.0
25984495,17197,20,2020-10-07T17:09:42Z,584481,3044.8,9.8
21181822,13141,5,2019-07-16T21:49:16Z,158354,363.5,0.0
6692171,4437,11,2014-02-17T22:35:36Z,28841,414.5,5.5
24453281,5259,3,2020-06-13T11:07:19Z,22747,866.3,0.0
