Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00492V443603;Oslo grense;FV160 S1D1 m191;2024-05-01T00:00+02:00;2024-05-01T01:00+02:00;2024-05-01;00:00;01:00;1;46;100,0;1;1;0;0;100,00;45;1;0;1;0;0;0;0
00492V443603;Oslo grense;FV160 S1D1 m191;2024-05-01T00:00+02:00;2024-05-01T01:00+02:00;2024-05-01;00:00;01:00;2;64;100,0;1;1;0;0;100,00;59;5;1;1;3;0;0;0
00492V443603;Oslo grense;FV160 S1D1 m191;2024-05-01T00:00+02:00;2024-05-01T01:00+02:00;2024-05-01;00:00;01:00;Totalt i retning BEKKESTUA;46;100,0;1;1;0;0;100,00;45;1;0;1;0;0;0;0
