Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T04:00+01:00;2024-03-01T05:00+01:00;2024-03-01;04:00;05:00;2;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T04:00+01:00;2024-03-01T05:00+01:00;2024-03-01;04:00;05:00;Totalt i retning Bygdøy;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T04:00+01:00;2024-03-01T05:00+01:00;2024-03-01;04:00;05:00;Totalt i retning Vika;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T04:00+01:00;2024-03-01T05:00+01:00;2024-03-01;04:00;05:00;Totalt;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T05:00+01:00;2024-03-01T06:00+01:00;2024-03-01;05:00;06:00;1;2;100,0;1;1;0;2;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T05:00+01:00;2024-03-01T06:00+01:00;2024-03-01;05:00;06:00;2;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T05:00+01:00;2024-03-01T06:00+01:00;2024-03-01;05:00;06:00;Totalt i retning Bygdøy;2;100,0;1;1;0;2;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T05:00+01:00;2024-03-01T06:00+01:00;2024-03-01;05:00;06:00;Totalt i retning Vika;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T05:00+01:00;2024-03-01T06:00+01:00;2024-03-01;05:00;06:00;Totalt;5;100,0;1;1;0;5;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T06:00+01:00;2024-03-01T07:00+01:00;2024-03-01;06:00;07:00;1;16;100,0;1;1;0;16;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T06:00+01:00;2024-03-01T07:00+01:00;2024-03-01;06:00;07:00;2;15;100,0;1;1;0;15;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T06:00+01:00;2024-03-01T07:00+01:00;2024-03-01;06:00;07:00;Totalt i retning Bygdøy;16;100,0;1;1;0;16;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T06:00+01:00;2024-03-01T07:00+01:00;2024-03-01;06:00;07:00;Totalt i retning Vika;15;100,0;1;1;0;15;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T06:00+01:00;2024-03-01T07:00+01:00;2024-03-01;06:00;07:00;Totalt;31;100,0;1;1;0;31;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T07:00+01:00;2024-03-01T08:00+01:00;2024-03-01;07:00;08:00;1;51;100,0;1;1;0;51;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T07:00+01:00;2024-03-01T08:00+01:00;2024-03-01;07:00;08:00;2;38;100,0;1;1;0;38;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T07:00+01:00;2024-03-01T08:00+01:00;2024-03-01;07:00;08:00;Totalt i retning Bygdøy;51;100,0;1;1;0;51;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T07:00+01:00;2024-03-01T08:00+01:00;2024-03-01;07:00;08:00;Totalt i retning Vika;38;100,0;1;1;0;38;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T07:00+01:00;2024-03-01T08:00+01:00;2024-03-01;07:00;08:00;Totalt;89;100,0;1;1;0;89;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T08:00+01:00;2024-03-01T09:00+01:00;2024-03-01;08:00;09:00;1;118;100,0;1;1;0;118;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T08:00+01:00;2024-03-01T09:00+01:00;2024-03-01;08:00;09:00;2;40;100,0;1;1;0;40;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T08:00+01:00;2024-03-01T09:00+01:00;2024-03-01;08:00;09:00;Totalt i retning Bygdøy;118;100,0;1;1;0;118;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T08:00+01:00;2024-03-01T09:00+01:00;2024-03-01;08:00;09:00;Totalt i retning Vika;40;100,0;1;1;0;40;0,00;-;-;-;-;-;-;-;-
